"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.0433611517255799,0.368297288112402,0.117734105368559,0.906278342526055
"DomainEur. pol.",0.398264680705385,0.187784580351256,2.12085933765393,0.0339336414298725
"Domainhealth",0.386274455148869,0.109844533934842,3.51655600248622,0.000437184420712795
"Domainliving cond. and 
background var.",0.418995392128891,0.0528276542944224,7.93136469383477,2.16750669630612e-15
"Domainother bel.",0.160506083475231,0.0653028400599572,2.45787293979655,0.0139762612581252
"Domainwork",0.645824342869899,0.111398993420317,5.7973983699579,6.73515708186530e-09
"Domainint. pol.",-0.165646163131401,0.333234377974996,-0.497086057381,0.619128366296174
"Domainfamily",0.905808678164361,0.23890935325918,3.79143246510612,0.000149780879831512
"Domainpers. rel.",0.71507940817398,0.0707185287767543,10.1116273279858,4.90624656859704e-24
"Domaincon. beh.",0.00786380256628491,0.179092873497311,0.0439090758483082,0.964976880799122
"Domainleis. act.",0.259448954626723,0.0530315330423532,4.89235252579849,9.96377705910007e-07
"ConceptEval. belief",-0.0587286219699712,0.0314224682429049,-1.86900091730483,0.0616226867588266
"ConceptImportance of sth",-1.14774015458505,0.197434634800084,-5.81326653121024,6.12653970729874e-09
"ConceptExp. of future",-0.770787319273405,0.270299783964895,-2.85160168449676,0.00434995708446395
"ConceptComplex con.",0.185163180066177,0.15255393140332,1.21375554443527,0.224841086918304
"ConceptAll other con.",-0.119331643038662,0.0518914215543135,-2.2996410478707,0.0214685645408931
"Social.DesirabilityA bit",-0.00565152587748708,0.0170785871674153,-0.330912962652425,0.740710230304665
"Social.DesirabilityA lot",-0.0338319349131532,0.0235917093254072,-1.43406034918877,0.151555041758727
"CentralityA bit",0.106976023242016,0.0255232672975979,4.19131383120704,2.77343712488646e-05
"CentralityRather",0.10200690103425,0.025391395138491,4.01738071019252,5.88486084887341e-05
"CentralityCentral",0.0843195421777488,0.0269155894565553,3.13273994291857,0.00173182810572264
"CentralityVery",0.118546782888147,0.0308301528061999,3.84515716264328,0.000120475197512745
"Reference.periodFuture",0.945646244766004,0.357076891495749,2.64829863619798,0.008089802699879
"Reference.periodPresent",0.36005486796912,0.340403795280509,1.05772871207978,0.29017914135968
"Formulation.of.the.request.for.an.answer..basic.choiceIndirect",0.695962304590572,0.320700018994788,2.17013490292897,0.0299966277749584
"Formulation.of.the.request.for.an.answer..basic.choiceDirect",0.865134536685749,0.321492606153583,2.69099357225173,0.00712395674256952
"WH.word.used.in.the.request_usedused_j",-0.019262573159184,0.0221848052704434,-0.868277765991814,0.385242290903469
"Request.for.an.answer.type_Declar.Declar._j",-1.12217726306927,0.224185446942036,-5.00557586755135,5.56952705591739e-07
"Request.for.an.answer.type_Imper.Imper._j",-0.959161116413538,0.217575957784029,-4.40839661781759,1.04138708958944e-05
"Request.for.an.answer.type_Inter.Inter._j",-0.853883110390857,0.217371087583259,-3.92822762164171,8.55741980302518e-05
"Use.of.gradation_NoNo_j",0.175823064255661,0.238542763156612,0.737071466470048,0.461078890007838
"Use.of.gradation_YesYes_j",0.13057521711492,0.235323003584203,0.554876553189148,0.578979100407674
"Balance.of.the.request_BalancedBalanced_j",0.0175140735999404,0.0228025479042574,0.7680752902473,0.442442456060672
"Presence.of.encouragement.to.answer_YesYes_j",0.0763282367227547,0.0183287761176453,4.16439353248867,3.12181258622662e-05
"Emphasis.on.subjective.opinion.in.request_YesYes_j",0.0887540204063033,0.0170210033917589,5.21438239353595,1.84430666888132e-07
"Use.of.stimulus.or.statement.in.the.requestYes",-0.128114897034098,0.02735072939277,-4.68414919376755,2.81125192634128e-06
"Absolute.or.comparative.judgmentcomparative",-0.376995417856593,0.0497877903450581,-7.57204558072967,3.67392501080711e-14
"Response.scale..basic.choice2",-0.78577263967368,0.0807294096934513,-9.73341242872264,2.17182351314655e-22
"Response.scale..basic.choiceopen-ended",-0.198259133811182,0.0834070276177071,-2.37700754329594,0.0174537311936706
"Response.scale..basic.choiceMagnitude",-0.21516619819162,0.0645785862184473,-3.33185055280996,0.000862705708915692
"Response.scale..basic.choiceLine prod.",0.14107070365184,0.0756817697523936,1.8639984782779,0.0623219180345906
"Response.scale..basic.choiceMore steps proc.",0.329748895089293,0.172094199840121,1.91609534426865,0.0553529608150988
"Number.of.categories",0.0198330676159279,0.00348956289795729,5.68353922708708,1.31935444800004e-08
"Theoretical.range.of.the.concept.bipolar.unipolar_unipolarunipolar_j",-0.24274112163707,0.0599265881061443,-4.05064144828531,5.10774226013372e-05
